,Question,Answer
0,"1. The recovery scheme must also provide
a) High availability
b) Low availability
c) High reliability
d) High durability
View Answer","Answer: a
Explanation: It must minimize the time for which the database is not usable after a failure."
1,"2. Which one of the following is a failure to a system
a) Boot crash
b) Read failure
c) Transaction failure
d) All of the mentioned
View Answer","Answer: c
Explanation: Types of system failure are transaction failure, system crash and disk failure."
2,"3. Which of the following belongs to transaction failure
a) Read error
b) Boot error
c) Logical error
d) All of the mentioned
View Answer","Answer: c
Explanation: Types of system transaction failure are logical and system error."
3,"4. The system has entered an undesirable state (for example, deadlock), as a result of which a transaction cannot continue with its normal execution. This is
a) Read error
b) Boot error
c) Logical error
d) System error
View Answer","Answer: c
Explanation: The transaction, can be re-executed at a later time."
4,"5. The transaction can no longer continue with its normal execution because of some internal condition, such as bad input, data not found, overflow, or resource limit exceeded. This is
a) Read error
b) Boot error
c) Logical error
d) System error
View Answer","Answer: c
Explanation: The transaction, can be re-executed at a later time."
5,"6. The assumption that hardware errors and bugs in the software bring the system to a halt, but do not corrupt the nonvolatile storage contents, is known as the
a) Stop assumption
b) Fail assumption
c) Halt assumption
d) Fail-stop assumption
View Answer","Answer: d
Explanation: Well-designed systems have numerous internal checks, at the hardware and the software level, that bring the system to a halt when there is an error. Hence, the fail-stop assumption is a reasonable one."
6,"7. Which kind of failure loses its data in head crash or failure during a transfer operation.
a) Transaction failure
b) System crash
c) Disk failure
d) All of the mentioned
View Answer","Answer: c
Explanation: Copies of the data on other disks, or archival backups on tertiary media, such as DVD or tapes, are used to recover from the failure."
7,"8. The failure occurred sufficiently early during the transfer that the destination block remains intact.
a) Partial Failure
b) Total failure
c) Successful completion
d) Data transfer failure
View Answer","Answer: a
Explanation: Copies of the data on other disks, or archival backups on tertiary media, such as DVD or tapes, are used to recover from the failure."
8,"9. The database is partitioned into fixed-length storage units called
a) Parts
b) Blocks
c) Reads
d) Build
View Answer","Answer: b
Explanation: Blocks are the units of data transfer to and from disk, and may contain several data items."
9,"10. Which of the following causes system to crash
a) Bug in software
b) Loss of volatile data
c) Hardware malfunction
d) All of the mentioned
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: d
Explanation: The content of non-volatile storage remains intact, and is not corrupted."
10,"1. The log is a sequence of _________ recording all the update activities in the database.
a) Log records
b) Records
c) Entries
d) Redo
View Answer","Answer: a
Explanation: The most widely used structure for recording database modifications is the log."
11,"2. In the ___________ scheme, a transaction that wants to update the database first creates a complete copy of the database.
a) Shadow copy
b) Shadow Paging
c) Update log records
d) All of the mentioned
View Answer","Answer: a
Explanation: If at any point the transaction has to be aborted, the system merely deletes the new copy. The old copy of the database has not been affected."
12,"3. The ____________ scheme uses a page table containing pointers to all pages; the page table itself and all updated pages are copied to a new location.
a) Shadow copy
b) Shadow Paging
c) Update log records
d) All of the mentioned
View Answer","Answer: b
Explanation: Any page which is not updated by a transaction is not copied, but instead the new page table just stores a pointer to the original page."
13,"4. The current copy of the database is identified by a pointer, called ____________ which is stored on disk.
a) Db-pointer
b) Update log
c) Update log records
d) All of the mentioned
View Answer","Answer: a
Explanation: Any page which is not updated by a transaction is not copied, but instead the new page table just stores a pointer to the original page."
14,"5. If a transaction does not modify the database until it has committed, it is said to use the ___________ technique.
a) Deferred-modification
b) Late-modification
c) Immediate-modification
d) Undo
View Answer","Answer: a
Explanation: Deferred modification has the overhead that transactions need to make local copies of all updated data items; further, if a transaction reads a data item that it has updated, it must read the value from its local copy."
15,"6. If database modifications occur while the transaction is still active, the transaction is said to use the ___________technique.
a) Deferred-modification
b) Late-modification
c) Immediate-modification
d) Undo
View Answer","Answer: c
Explanation: We say a transaction modifies the database if it performs an update on a disk buffer, or on the disk itself; updates to the private part of main memory do not count as database modifications."
16,"7. ____________ using a log record sets the data item specified in the log record to the old value.
a) Deferred-modification
b) Late-modification
c) Immediate-modification
d) Undo
View Answer","Answer: d
Explanation: Undo brings the previous contents."
17,"8. In the __________ phase, the system replays updates of all transactions by scanning the log forward from the last checkpoint.
a) Repeating
b) Redo
c) Replay
d) Undo
View Answer","Answer: b
Explanation: Undo brings the previous contents."
18,"9. The actions which are played in the order while recording it is called ______________ history.
a) Repeating
b) Redo
c) Replay
d) Undo
View Answer","Answer: a
Explanation: Undo brings the previous contents."
19,"10. A special redo-only log record < Ti, Xj, V1> is written to the log, where V1 is the value being restored to data item Xj during the rollback. These log records are sometimes called
a) Log records
b) Records
c) Compensation log records
d) Compensation redo records
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: c
Explanation: Such records do not need undo information since we never need to undo such an undo operation."
20,"1. In order to reduce the overhead in retrieving the records from the storage space we use
a) Logs
b) Log buffer
c) Medieval space
d) Lower records
View Answer","Answer: b
Explanation: The output to stable storage is in units of blocks."
21,"2. The order of log records in the stable storage ____________ as the order in which they were written to the log buffer.
a) Must be exactly the same
b) Can be different
c) Is opposite
d) Can be partially same
View Answer","Answer: a
Explanation: As a result of log buffering, a log record may reside in only main memory (volatile storage) for a considerable time before it is output to stable storage."
22,"3. Before a block of data in main memory can be output to the database, all log records pertaining to data in that block must have been output to stable storage. This is
a) Read-write logging
b) Read-ahead logging
c) Write-ahead logging
d) None of the mentioned
View Answer","Answer: c
Explanation: The WAL rule requires only that the undo information in the log has been output to stable storage, and it permits the redo information to be written later."
23,"4. Writing the buffered log to __________ is sometimes referred to as a log force.
a) Memory
b) Backup
c) Redo memory
d) Disk
View Answer","Answer: d
Explanation: If there are insufficient log records to fill the block, all log records in main memory are combined into a partially full block and are output to stable storage."
24,"5. The _______________ policy, allows a transaction to commit even if it has modified some blocks that have not yet been written back to disk.
a) Force
b) No-force
c) Steal
d) No-steal
View Answer","Answer: b
Explanation: No-force policy allows faster commit of transactions."
25,"6. ______________ policy allows multiple updates to accumulate on a block before it is output to stable storage, which can reduce the number of output operations greatly for frequently updated blocks.
a) Force
b) No-force
c) Steal
d) No-steal
View Answer","Answer: b
Explanation: No-force policy allows faster commit of transactions."
26,"7. The ___________ policy, allows the system to write modified blocks to disk even if the transactions that made those modifications have not all committed.
a) Force
b) No-force
c) Steal
d) No-steal
View Answer","Answer: c
Explanation: The no-steal policy does not work with transactions that perform a large number of updates."
27,"8. Locks on buffer blocks are unrelated to locks used for concurrency-control of transactions, and releasing them in a non-two-phase manner does not have any implications on transaction serializability. This is
a) Latches
b) Swap Space
c) Dirty Block
d) None of the mentioned
View Answer","Answer: a
Explanation: These locks, and other similar locks that are held for a short duration."
28,"9. The __________________ contains a list of blocks that have been updated in the database buffer.
a) Latches
b) Swap Space
c) Dirty Block
d) None of the mentioned
View Answer","Answer: c
Explanation: Dirty blocks are those that have been updated in memory, and the disk version is not up-to-date."
29,"10. The operating system reserves space on disk for storing virtual-memory pages that are not currently in main memory; this space is called
a) Latches
b) Swap Space
c) Dirty Block
d) None of the mentioned
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: b
Explanation: Almost all current-generation operating systems retain complete control of virtual memory."
30,"1. The silicon chips used for data processing are called
a) RAM chips
b) ROM chips
c) Micro processors
d) PROM chips
View Answer","Answer: d
Explanation: PROM is Programmable Read Only Memory."
31,"2. Which of the following is used for manufacturing chips?
a) Control bus
b) Control unit
c) Parity unit
d) Semiconductor
View Answer","Answer: d
Explanation: A semiconductor is a material which has electrical conductivity between that of a conductor such as copper and that of an insulator such as glass."
32,"3. What was the name of the first commercially available microprocessor chip?
a) Intel 308
b) Intel 33
c) Intel 4004
d) Motorola 639
View Answer","Answer: c
Explanation: The Intel 4004 is a 4-bit central processing unit (CPU) released by Intel Corporation in 1971 "
33,"4. The magnetic storage chip used to provide non-volatile direct access storage of data and that have no moving parts are known as
a) Magnetic core memory
b) Magnetic tape memory
c) Magnetic disk memory
d) Magnetic bubble memory
View Answer","Answer: d
Explanation: Bubble domain visualization by using CMOS-MagView."
